term.id,ecoinventMapping
noxToAirNaturalVegetationBurning,c1b91234-6f24-417b-8309-46111d09c457
noxToAirOrganicFertiliser,c1b91234-6f24-417b-8309-46111d09c457
noxToAirOrganicSoilBurning,c1b91234-6f24-417b-8309-46111d09c457
noxToAirOrganicSoilCultivation,c1b91234-6f24-417b-8309-46111d09c457
noxToAirSoilFlux,c1b91234-6f24-417b-8309-46111d09c457
noxToAirWasteTreatment,c1b91234-6f24-417b-8309-46111d09c457
pErosionInputsProduction,8b0a4a41-c65c-4d94-b10c-94ddb98abdd2
pErosionSoilFlux,8b0a4a41-c65c-4d94-b10c-94ddb98abdd2
pToDrainageWaterInputsProduction,8b0a4a41-c65c-4d94-b10c-94ddb98abdd2
pToDrainageWaterSoilFlux,8b0a4a41-c65c-4d94-b10c-94ddb98abdd2
pToGroundwaterInputsProduction,b1fca66f-8e83-469a-a7b5-018e14d5d545
pToGroundwaterSoilFlux,b1fca66f-8e83-469a-a7b5-018e14d5d545
pToSurfaceWaterAquacultureSystems,b2631209-8374-431e-b7d5-56c96c6b6d79
pToSurfaceWaterExcreta,b2631209-8374-431e-b7d5-56c96c6b6d79
pToSurfaceWaterInputsProduction,b2631209-8374-431e-b7d5-56c96c6b6d79
pToSurfaceWaterSoilFlux,b2631209-8374-431e-b7d5-56c96c6b6d79
pesticideToAirInputsProduction,
pesticideToAirPesticideApplication,
pesticideToHarvestedCropInputsProduction,
pesticideToHarvestedCropPesticideApplication,
pesticideToSoilInputsProduction,e863adf6-88ba-54ab-b4a6-947aa3e0e237
pesticideToSoilPesticideApplication,e863adf6-88ba-54ab-b4a6-947aa3e0e237
pesticideToWaterInputsProduction,87559b92-4aa2-5c55-afa3-55b1d6c52a76
pesticideToWaterPesticideApplication,87559b92-4aa2-5c55-afa3-55b1d6c52a76
pm10ToAirAnimalHousing,66020d27-7ae4-4e59-83a3-89214b72c40a
pm10ToAirCropResidueBurning,66020d27-7ae4-4e59-83a3-89214b72c40a
pm10ToAirFuelCombustion,66020d27-7ae4-4e59-83a3-89214b72c40a
pm10ToAirInputsProduction,66020d27-7ae4-4e59-83a3-89214b72c40a
pm25ToAirAnimalHousing,21e46cb8-6233-4c99-bac3-c41d2ab99498
pm25ToAirCropResidueBurning,21e46cb8-6233-4c99-bac3-c41d2ab99498
pm25ToAirFuelCombustion,21e46cb8-6233-4c99-bac3-c41d2ab99498
pm25ToAirInputsProduction,21e46cb8-6233-4c99-bac3-c41d2ab99498
po43ToGroundwaterInorganicFertiliser,329fc7d8-4011-4327-84e4-34ff76f0e42d
po43ToGroundwaterInputsProduction,329fc7d8-4011-4327-84e4-34ff76f0e42d
po43ToGroundwaterOrganicFertiliser,329fc7d8-4011-4327-84e4-34ff76f0e42d
po43ToGroundwaterSoilFlux,329fc7d8-4011-4327-84e4-34ff76f0e42d
po43ToSurfaceWaterAquacultureSystems,1727b41d-377e-43cd-bc01-9eaba946eccb
po43ToSurfaceWaterInorganicFertiliser,1727b41d-377e-43cd-bc01-9eaba946eccb
po43ToSurfaceWaterInputsProduction,1727b41d-377e-43cd-bc01-9eaba946eccb
po43ToSurfaceWaterOrganicFertiliser,1727b41d-377e-43cd-bc01-9eaba946eccb
po43ToSurfaceWaterSoilFlux,1727b41d-377e-43cd-bc01-9eaba946eccb
so2ToAirCropResidueBurning,fd7aa71c-508c-480d-81a6-8052aad92646
so2ToAirFuelCombustion,fd7aa71c-508c-480d-81a6-8052aad92646
so2ToAirInputsProduction,fd7aa71c-508c-480d-81a6-8052aad92646
soxToAirCropResidueBurning,ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd
soxToAirFuelCombustion,ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd
soxToAirInputsProduction,ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd
totalSuspendedParticulatesToAirFuelCombustion,
totalSuspendedParticulatesToAirInputsProduction,
