term.id,ecoinventMapping
CAS-320-67-2,"market for pesticide, unspecified"
CAS-632-99-5,"market for pesticide, unspecified"
CAS-20350-15-6,"market for pesticide, unspecified"
CAS-32718-18-6,"market for pesticide, unspecified"
CAS-8004-87-3,"market for pesticide, unspecified"
CAS-4564-87-8,"market for pesticide, unspecified"
CAS-5575-21-3,"market for pesticide, unspecified"
CAS-7059-24-7,"market for pesticide, unspecified"
CAS-105956-97-6,"market for pesticide, unspecified"
CAS-18323-44-9,"market for pesticide, unspecified"
CAS-24729-96-2,"market for pesticide, unspecified"
CAS-73-03-0,"market for pesticide, unspecified"
CAS-8064-90-2,"market for pesticide, unspecified"
CAS-93-51-6,"market for pesticide, unspecified"
CAS-22144-77-0,"market for pesticide, unspecified"
CAS-50-76-0,"market for pesticide, unspecified"
CAS-112398-08-0,"market for pesticide, unspecified"
CAS-80-08-0,"market for pesticide, unspecified"
CAS-20830-81-3,"market for pesticide, unspecified"
CAS-128-46-1,"market for pesticide, unspecified"
CAS-23214-92-8,"market for pesticide, unspecified"
CAS-17372-87-1,"market for pesticide, unspecified"
CAS-114-07-8,"market for pesticide, unspecified"
CAS-1837-57-6,"market for pesticide, unspecified"
CAS-536-33-4,"market for pesticide, unspecified"
CAS-68518-47-8,"market for pesticide, unspecified"
CAS-80370-57-6,"market for pesticide, unspecified"
CAS-73231-34-2,"market for pesticide, unspecified"
CAS-86386-73-4,"market for pesticide, unspecified"
CAS-42835-25-6,"market for pesticide, unspecified"
CAS-2002-29-1,"market for pesticide, unspecified"
CAS-536-69-6,"market for pesticide, unspecified"
CAS-49863-47-0,"market for pesticide, unspecified"
CAS-1403-66-3,"market for pesticide, unspecified"
CAS-599-52-0,"market for pesticide, unspecified"
CAS-35354-74-6,"market for pesticide, unspecified"
CAS-50-03-3,"market for pesticide, unspecified"
CAS-39236-46-9,"market for pesticide, unspecified"
CAS-75-47-8,"market for pesticide, unspecified"
CAS-54-85-3,"market for pesticide, unspecified"
CAS-50-21-5,"market for pesticide, unspecified"
CAS-25999-31-9,"market for pesticide, unspecified"
CAS-154-21-2,"market for pesticide, unspecified"
CAS-98079-51-7,"market for pesticide, unspecified"
CAS-129-16-8,"market for pesticide, unspecified"
CAS-10124-48-8,"market for pesticide, unspecified"
CAS-50-07-7,"market for pesticide, unspecified"
CAS-1404-04-2,"market for pesticide, unspecified"
CAS-56391-56-1,"market for pesticide, unspecified"
CAS-1438-30-8,"market for pesticide, unspecified"
CAS-965-52-6,"market for pesticide, unspecified"
CAS-133-58-4,"market for pesticide, unspecified"
CAS-4008-48-4,"market for pesticide, unspecified"
CAS-303-47-9,"market for pesticide, unspecified"
CAS-6981-18-6,"market for pesticide, unspecified"
CAS-33069-62-4,"market for pesticide, unspecified"
CAS-149-29-1,"market for pesticide, unspecified"
CAS-52-67-5,"market for pesticide, unspecified"
CAS-525-97-3,"market for pesticide, unspecified"
CAS-87-08-1,"market for pesticide, unspecified"
CAS-122-99-6,"market for pesticide, unspecified"
CAS-1404-26-8,"market for pesticide, unspecified"
CAS-24634-61-5,"market for pesticide, unspecified"
CAS-54-35-3,"market for pesticide, unspecified"
CAS-2315-68-6,"market for pesticide, unspecified"
CAS-53-79-2,"market for pesticide, unspecified"
CAS-98-96-4,"market for pesticide, unspecified"
CAS-13292-46-1,"market for pesticide, unspecified"
CAS-7681-76-7,"market for pesticide, unspecified"
CAS-80214-83-1,"market for pesticide, unspecified"
CAS-53003-10-4,"market for pesticide, unspecified"
CAS-7783-96-2,"market for pesticide, unspecified"
CAS-10101-50-5,"market for pesticide, unspecified"
CAS-110871-86-8,"market for pesticide, unspecified"
CAS-84625-61-6,"market for pesticide, unspecified"
CAS-636-47-5,"market for pesticide, unspecified"
CAS-62996-74-1,"market for pesticide, unspecified"
CAS-3930-19-6,"market for pesticide, unspecified"
CAS-18883-66-4,"market for pesticide, unspecified"
CAS-116-43-8,"market for pesticide, unspecified"
CAS-102-65-8,"market for pesticide, unspecified"
CAS-68-35-9,"market for pesticide, unspecified"
CAS-122-11-2,"market for pesticide, unspecified"
CAS-57-67-0,"market for pesticide, unspecified"
CAS-127-79-7,"market for pesticide, unspecified"
CAS-144-82-1,"market for pesticide, unspecified"
CAS-144-83-2,"market for pesticide, unspecified"
CAS-599-79-1,"market for pesticide, unspecified"
CAS-72-14-0,"market for pesticide, unspecified"
CAS-10540-29-1,"market for pesticide, unspecified"
CAS-1948-33-0,"market for pesticide, unspecified"
CAS-15318-45-3,"market for pesticide, unspecified"
CAS-89-83-8,"market for pesticide, unspecified"
CAS-86482-18-0,"market for pesticide, unspecified"
CAS-68047-06-3,"market for pesticide, unspecified"
CAS-11089-65-9,"market for pesticide, unspecified"
CAS-1401-69-0,"market for pesticide, unspecified"
CAS-65277-42-1,"market for pesticide, unspecified"
CAS-13463-41-7,"market for pesticide, unspecified"
electricityGridMarketMix,"market group for electricity, high voltage"
